1   破位了，前期涨幅过大，接下来步入调整周期，34元有一个小的技术支撑，不一定能撑住。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限2192不好说，重组的票不能按常理出牌，哪天涨停打开中阴再跑。030 基本是个弱震荡，可高抛低吸。266，盘整背驰了，理论是拉出去再震荡,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限电改利好在即，中线可持，但暴发力差，涨的比较慢。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限短线可暂持，平台构建中。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限理论上大盘还能反弹一到二天！明天高开看结构，当前结构看还有上行空间。航天信息72有压力。金瑞在11.5 一线。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限今天就被套住了？没跌多少，明天找机会逢高出，有机会再冲一次7.5上方，明天大盘不是太好，业绩下滑，利空也不少，不是太好的标的。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限南钢周五走势量放太大，下周一走势比较关健，如收不在4.3上面，短线至少调一周左右，rm锦龙股份还可以，下周可能出现仙人指路，持股为主。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限应当调整 到17.5有一小笔反抽，反抽高点在19元，跌可低吸高则了结，可看周一走势操作。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，大恒科技理论还能涨，但顶背出现，建议明天关注20.5能否夺回，如拿不下逢高离场，嘉欣丝绸可以持股，补涨启动。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，可以持股，初创4年新高，量价齐升还有一定空间。但到07年的劲线位有一定压力，涨的会比较慢一点。可以持有。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，短线16一线是该股短线支撑，上证到4200一线是安全补仓点。这票的反弹高度在18.2一线。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限刚泰控股下方支撑在23.5，未止跌，建议逢高离场。兴业银行持股、万华化学可持股，回撤可买，有新高。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限我认为他跌的比较少，不是特理想的反弹品种。空间不大。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限000413已创历史新高，比较强，但是一路上涨全是复合结构，主力不够强大，此段急涨消耗完需整固一段，短线多空争夺，可以先出，中线暂持，目标12。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限一般性，行业非主流。中线可持，不适合做短线。,,,,,,,,,,,,
9   再一到两天会有新高的，建议持股。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限短线逢高先离场。震荡开始。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，不是啊，呵呵，这票跌的少，且半年线与20天线一块顶着，压力较重，短线不是最理想品种。还需盘整。可做高抛低吸。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限散户较多，涨的会较慢，可持有。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限今天不建议入票，短线走势不理想。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限建议逢高出为主，天路与药业都跌的少，大盘仍未止跌。有可能补跌的。佛塑本来就是炒题材，业绩不好。没啥想像空间。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限739下周选方向，向上攻击30一线拉上去的概率大，当前盘背，到33一线关注一下是否压力山大。如5分钟仍背离则可以先出。327? 下周回撤12.9一线看能否支撑住，撑住的话将向13.3一线攻击，较难攻破箱体，震荡为主。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限我觉的都还可以啊，结构上航天动力好些。? 军工里面滞涨的中原特钢不可以。创历史新高不久。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，该股回调就是买点，可持股。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限大盘是5F震荡，没算涨，这股票也是震荡，只不过比大盘弱些罢了。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限不建议买。不是主流，不是龙头。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限盘整将结束，可以持有，有新高。,,,,,,,,,,,,
1   个人认为明天还可以看一天，不过结局不会太好。明天最多小阳，差的话补缺中阴。,,,,,,,,,,,,
1   节能风电尾盘如果封住，明天冲高跑以下为问答私密内容，你已经解锁获得查看权限封不住今天建议出。五州交通明天还可以看一天。不管明天是小阳或中阴都要出。除非开大阳线。,,,,,,,,,,,,
9   电力股基本调整到位，暂可以持股，走势也较稳，券商短线震荡为主，建议逢高离场。,,,,,,,,,,,,
0   主要是近阶关于券商的利空挺多。利好基本没有。以下为问答私密内容，你已经解锁获得查看权限券商都差不多哈哈，好处是中信是大券商。洗牌过程中扛风险好一点。但整个板块不涨，换哪个差不大的。涨了就要找龙头，西南应该不是后面的龙头了。国信证券或海通有可能。现在的消息对券商利好比较有限，现在券商在做资源抢夺战，短期业绩会受明显影响。但长远来说，也未偿不是好事，创新才有新空间。中线还是可以的。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限可以出了，可以配置些石化类品咱。券商也可以。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限中粮短线到支撑位12元了。看今天能不能止跌了。首开关注16.5一线的压力山大。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限短线都很弱，天科稍强泰达上压在8.7仪电电子在12.7天科上压在23.5元,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，两只票短线都是盘局了，宝光股份短线宽幅震荡，可做T,大众公用明天到15.8一线看支撑，上压在16.8一线。,,,,,,,,,,,
0   今天在昨天下影线处运行，顶分基本确立，且日线段上涨走势完美，短线建议离场。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限561还可以，走势健康，不过短线会有个平台。可以冲高出，低吸回。健康元就是炒抗癌题材，这个空间不大敢想，成功的话会吓死人。不成功就昙花一现，不开中阴线都可以持股。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限中线可以，长线一般。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限北巴上压在13.5一线。格林美上压在12.3，从结构上来看短线都有继续向上空间，可惜量能不足，最好明天能放量上攻。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限不好意思，出差了，可以持股，券商股中线，短线也安全，，环保也不错，是上半年主线。建议持股。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限14.5-15.5是上方重压力区，空间相对有限。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限短线可以先出了，这种票只是补涨，不适合做中线。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限头是还没有，震荡会加剧，短线还可以持有。进入一般般。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限有利空，解套需要时间。最好是高抛低吸。本周后半周是反弹窗口。,,,,,,,,,,,,
1   你好，以下为问答私密内容，你已经解锁获得查看权限这里日线还是安全边际内，但短周期偏弱，下周一需要一根中阳线才能破局，否则短线就弱了。暂观察一下。,,,,,,,,,,,,
1   408暂时不建议补仓，看结构仍要调二到三天，601616可以，中线还大有空间。下周拉到8块上方会有纠结！,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限相对较弱，短经被年线压制较明显。蓄势状态，可以暂持， 如3日攻不下则建议放弃。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限呵呵，可惜了，连板票不是天天有的，小商品城今天有止跌迹象，不过还需涨回25.5一线确认。暂持。可以关注600527或300315???? 重组或热点。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限今天先放一放，利好较多。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，这两股中线股，现在这两票都是中枢震荡，之前跌的少，所以涨的也慢，短线形态并不是很理想。,,,,,,,,,,,,
9   国航4浪调整中，有调整完的趋势，建议周五再找入场点。中远航运可逢低吸纳。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限短线震荡为主，上沿7.2，下沿6.3,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限可以持股，中线可持。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限可以暂时持有，现在是搭平台，不出意外，创8块新高是必然。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限都可以持股，仍有新高，不建议买429。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限空间不大，不过涨停板带出历史新高，短线还可以持有，到34要注意。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限安啦，要出货也会试图去探一下前期高点的。16上面再看吧。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限000089还不错，刚启动，空间较大， ?487不好说，小盘股短线危险，今天杠杆资金都撤离了，短线急拉的太快，要当心冲高回落，可择机离场。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限短线仍在反弹中，量能不济，较弱。可以暂持。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，这种票要看现货走势的，美元都快破百了，他是没有机会的。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，暂时可以持股，理论上还要再攻一次25。5的高点，届时再看走势。,,,,,,,,,,,,
1    详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限27.7如上不去就要向下了。明天比较关健。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，建议明天择机出局，军工股一阵一阵的。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限上行阻力在29一线，明天就到了。关注能不能突破。板块还是领涨。人气较稳。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限补跌开始了，建议明天找高点出。现在管理层没空管这些没跌的票。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，明天如果能站回14.7一线，则先持有，回不了止损。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限三只较弱，还是盘局，方大特钢比较强。暂持。仓位太重应适当减仓，现在大盘震荡加大，短线创业板调整压力巨大，盘局的票最好高抛低吸做差价。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，康美今天可以出了，马钢持有就是。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，主要是大盘跌太惨，肯定有资金跑，这票是没啥问题。中线不错。短线18.8 元一线有支撑，关注这两天有没有利好，下周二能不能止跌。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限昨天不不该买啊，下跌中继形态，明天回撤16一线可能大。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限周五刚出日线买点，暂可持有。不过还是盘整走势为主。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，那说明英雄所见略同了，这票理想的进仓点是6-6.5一线，越跌越买，这个位置进是周线级别的思路，但不一定给这么低的机会，我认为可以看情况，明天再跌可以先配一部分。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限江南高纤是重组，我上周推荐过了，401没听说有重组啊。肯定低价安全涨得也快啊。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，短线震荡，不建议长持，这票是一阵一阵的。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限未来半个月是高位搭平台走势为主。还有新高。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限结构是要涨的，被金融抢了风头，资金全去追金融了，还可以吧，换的话可以换保利地产。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限暂观察一下，这票年线不一定能撑住，跌的少，一般弹的弱。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，大盘跳空。大涨票短线都该先了结。已背离。,,,,,,,,,,,,
9   早上好， 可以关注公积金贷款比例下调利好股。如：以下为问答私密内容，你已经解锁获得查看权限北京城建600266----跌破净资产短线二次反弹可期。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限那是有可能影响的，不过影响较小。新疆板块尾盘主力流入较多。明天仍有望活跃。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限公司老牌庄股，去年受行业低迷影响股价低迷，现在走回归之路，暂可持有。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限两只票都还可以，但是大盘来回巨震，逢高就出是为上策。不建议死持。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限建议卖出，短线未止跌，短线第一支撑在8元，第二支撑在6块。8-6之间有一个小平台构筑可能。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限补涨股，可以见好就收，也可持股。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限再大涨有难度，持有暂时没问题。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限571是个不错的中线票，主营金融IT,互联网金融前景光明，公司业绩稳中将有升，适合中线，西水股份基本面一般，只适合短炒、,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，大盘未止跌，逢高出局，技术性反抽仍有新低可能。,,,,,,,,,,,,
0   不建议。刚破位,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限577短线支撑在6.4一线，600566短线支撑在17，当前仍未止跌。理论暴跌后补涨的少，后市仍有补涨可以。下周可关注这两个点能不能撑住。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限今天怎么不跑啊，都连涨3天了可以见好就收了。明天不回9.8 还是建议先出。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限可以持有。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限21一线不能再跌了，再跌有回19的可能，明天走势很关健。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限这票解套基本没问题。55一线是短线重压。可来回做T.,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限跌的少反弹动力就弱，明天可以择机出了，60一线压力山大。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限这么高的成本，加仓没有意义，现在又没有启动迹象。至少拉开5%以上的距离才能加仓。建议暂持先。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限估计还是重组的事，在重组前业绩没有根本改善炒这种票没有长线可言！就是炒消息！,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限走势还行，但需要盘整一周左右，短线震荡为主。近期可入，上海本地股三爱富！止损21.6，目标26,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限按走势是可以买的，但是建议买两个票，你可以再选一个上海其它的物流股一块配置。股票不推荐谢谢。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限这两票都可以暂持，被带下来的，暂不要入新票了，有点弱。建议解套再进新票。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限不好意思，没看到消息，这种票没啥大前景，短线震荡后还有新低可能，最好是在此附近逢高出局，待下一次买点入场。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限券商现在不是合适的买点，建议逢高离场? 金枫这走势看明天，如果把今天的上影收一半，就可以继续持股。,,,,,,,,,,,,
1   随你啊，我的建议是搞个低价股，基建类的，持一段 ?可能会比你这个强。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限哈哈，恭喜你赚钱了！节前还是减仓为好，明天可以逢高了结。适当关注国中水务！,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限呵呵，谢谢，恭喜你赚钱了，可适当关注国中水务！,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限可以持股，创新高后回撤，还有空间！没有的话短线一般，多级量不是太足。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限短线可以设5日线上损，暂持。小盘还是比较活跃。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限明天开盘比较关健，上海本地股我比较看好，理论上还能涨，就是不确定这里是否要搭个平台。可关注华鑫股份。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限东方明珠这个22的缺口不补还有机会，补了就结束了，明天看一下。破了就要出了。桑乐金现在还在盘整，明天这里撑住的话还有向上的一段。,,,,,,,,,,,,
1   三角末端，要选方向了，差一根放量中阳线启动。以下为问答私密内容，你已经解锁获得查看权限当前建议持有，没有可等等或低吸都行，涨的慢点。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限可以持股，形态结构相似，创新高可期。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限可以持有，买了这票就当存银行吧，比存银行好一点，股自率固定，走势较为稳健。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，今天还是谨慎些好，不要追涨。昨天股指期货跳水，股票撤离主力较多，外盘环境普涨，内盘环境股指期货跳水，股指在上周四止跌反弹，随后开启一波三连阳的强势行情，重返半年线附近，期间沪深两市的资金流向也出现扭转，从大幅净流出变为净流入。不过昨日市场继续大幅向上，场内资金反而出现离场，沪深两市出现286.78亿元资金净流出。 ?今天4000大关震荡或加剧，谨慎对待！福耀短线形态并不理想，还是宜逢高先出为好。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限当前盘面还是大盘弱，汇金减持大盘股没戏，下午大盘站不上4334，?? 建议减仓。包钢股份可以考虑。北方有点弱。,,,,,,,,,,,,
1   你好，不建议买入。正如本投顾所说26号就是本轮高点。以下为问答私密内容，你已经解锁获得查看权限这走势是卖点也不是卖点。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限暂时可以持有， 补涨到缺口压力23一线可期。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限600690？ ?22？,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限255短线搭平台，将耗时2周左右。6.6-7.2区间。三安短线将回抽20天线。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限涨高啦，高位横盘为主啊。没大资金玩自然弱。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限说不上利好利空，小券商如果有竟争优势反是利好，因为老股民都在大券商开户多，这一放开，我可以两边开，哪边服务好哪边做，对券商要求高了。西南也还可以，有一定竟争力。西南上面27压力较大， 短线理论还是平台震荡。705短线也是在平台构建? ，26有压力，不过中线没问题，是好票。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限短线盘背，走势有点弱了，明天反抽到25一线基本上不去短线可以先跑，估计还要再跌一下。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，昨天这走势你今天还敢买胆子也大的，明天看一下这里能不能撑住，撑住了还要涨的，渤海租赁是龙头。要看他的走势。一重现在买太晚了。002523可以！,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限刚回年线，20一线有较重压力，暂持。本周大盘会震荡，看5分MACD 可做t .,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限不用，可以暂持。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限短线中航明天到压力位料有震荡。可以做高抛低吸。中工走势较稳健。可以暂持。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限短线逢高出，华电能源短线有点滞涨中航资本票不错，形态也不错，估计出来是利好就会大涨。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，这票日线形态还可以，30分钟是主升买点刚出现不久，还有空间，不过小级别5分出现了背驰，1分钟的下跌还没有结束，理论下周一还需要消化抛盘，下面搭个小平台再创个小新低，理论支撑位在10.7一线。操作建议可以高抛低吸或持股都可以。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限新手尽量不要追持续涨停后的票，这些票只能玩短线，且是找合适的点入场，。南车中线还有空间，短线已无空间。逢高先出。南京医药支撑在8.5，短线未止跌。暂持。600288，明天小反抽建议离场。,,,,,,,,,,,,
